"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_C","6:4","age_cat_nij","Male Only","full","1yr",0.039897626966353
"Method_A","7:3","age_cat_nij","Male Only","full","1yr",0.0428005755022453
"Method_B","7:3","age_cat_nij","Male Only","full","1yr",0.0428005755022453
"Method_C","7:3","age_cat_nij","Male Only","full","1yr",0.0428005755022453
"Method_A","8:2","age_cat_nij","Male Only","full","1yr",0.0364549804738004
"Method_B","8:2","age_cat_nij","Male Only","full","1yr",0.0364549804738004
"Method_C","8:2","age_cat_nij","Male Only","full","1yr",0.0364549804738004
"Method_A","1:2","raw_age_year","Female Only","full","1yr",0.00797266454380374
"Method_B","1:2","raw_age_year","Female Only","full","1yr",0.00797266454380374
"Method_C","1:2","raw_age_year","Female Only","full","1yr",0.00797266454380374
"Method_A","6:4","raw_age_year","Female Only","full","1yr",0
"Method_B","6:4","raw_age_year","Female Only","full","1yr",0
"Method_C","6:4","raw_age_year","Female Only","full","1yr",0
"Method_A","7:3","raw_age_year","Female Only","full","1yr",8.11254703259046e-06
"Method_B","7:3","raw_age_year","Female Only","full","1yr",8.11254703259046e-06
"Method_C","7:3","raw_age_year","Female Only","full","1yr",8.11254703259046e-06
"Method_A","8:2","raw_age_year","Female Only","full","1yr",3.3312675545849e-06
"Method_B","8:2","raw_age_year","Female Only","full","1yr",3.3312675545849e-06
"Method_C","8:2","raw_age_year","Female Only","full","1yr",3.3312675545849e-06
"Method_A","1:2","age_cat_compas","Female Only","full","1yr",0.00797266454380374
"Method_B","1:2","age_cat_compas","Female Only","full","1yr",0.00797266454380374
"Method_C","1:2","age_cat_compas","Female Only","full","1yr",0.00797266454380374
"Method_A","6:4","age_cat_compas","Female Only","full","1yr",0
"Method_B","6:4","age_cat_compas","Female Only","full","1yr",0
"Method_C","6:4","age_cat_compas","Female Only","full","1yr",0
"Method_A","7:3","age_cat_compas","Female Only","full","1yr",8.11254703259046e-06
"Method_B","7:3","age_cat_compas","Female Only","full","1yr",8.11254703259046e-06
"Method_C","7:3","age_cat_compas","Female Only","full","1yr",8.11254703259046e-06
"Method_A","8:2","age_cat_compas","Female Only","full","1yr",3.3312675545849e-06
"Method_B","8:2","age_cat_compas","Female Only","full","1yr",3.3312675545849e-06
"Method_C","8:2","age_cat_compas","Female Only","full","1yr",3.3312675545849e-06
"Method_A","1:2","age_cat_nij","Female Only","full","1yr",0.00797266454380374
"Method_B","1:2","age_cat_nij","Female Only","full","1yr",0.00797266454380374
"Method_C","1:2","age_cat_nij","Female Only","full","1yr",0.00797266454380374
"Method_A","6:4","age_cat_nij","Female Only","full","1yr",0
"Method_B","6:4","age_cat_nij","Female Only","full","1yr",0
"Method_C","6:4","age_cat_nij","Female Only","full","1yr",0
"Method_A","7:3","age_cat_nij","Female Only","full","1yr",8.11254703259046e-06
"Method_B","7:3","age_cat_nij","Female Only","full","1yr",8.11254703259046e-06
"Method_C","7:3","age_cat_nij","Female Only","full","1yr",8.11254703259046e-06
"Method_A","8:2","age_cat_nij","Female Only","full","1yr",3.3312675545849e-06
"Method_B","8:2","age_cat_nij","Female Only","full","1yr",3.3312675545849e-06
"Method_C","8:2","age_cat_nij","Female Only","full","1yr",3.3312675545849e-06
"Method_A","1:2","raw_age_year","Weighting","full","1yr",0.0169711023726423
"Method_B","1:2","raw_age_year","Weighting","full","1yr",0.0169711023726423
"Method_C","1:2","raw_age_year","Weighting","full","1yr",0.0169711023726423
"Method_A","6:4","raw_age_year","Weighting","full","1yr",0.0114218059754192
"Method_B","6:4","raw_age_year","Weighting","full","1yr",0.0114218059754192
"Method_C","6:4","raw_age_year","Weighting","full","1yr",0.0114218059754192
"Method_A","7:3","raw_age_year","Weighting","full","1yr",0.0157963024428225
"Method_B","7:3","raw_age_year","Weighting","full","1yr",0.0157963024428225
"Method_C","7:3","raw_age_year","Weighting","full","1yr",0.0157963024428225
