"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_B","1:2","age_cat_compas","Weighting","full","1yr",0.737939108145522
"Method_C","1:2","age_cat_compas","Weighting","full","1yr",0.737939108145522
"Method_A","6:4","age_cat_compas","Weighting","full","1yr",0.759476123781219
"Method_B","6:4","age_cat_compas","Weighting","full","1yr",0.759476123781219
"Method_C","6:4","age_cat_compas","Weighting","full","1yr",0.759476123781219
"Method_A","7:3","age_cat_compas","Weighting","full","1yr",0.802880908136281
"Method_B","7:3","age_cat_compas","Weighting","full","1yr",0.802880908136281
"Method_C","7:3","age_cat_compas","Weighting","full","1yr",0.802880908136281
"Method_A","8:2","age_cat_compas","Weighting","full","1yr",0.784698661579141
"Method_B","8:2","age_cat_compas","Weighting","full","1yr",0.784698661579141
"Method_C","8:2","age_cat_compas","Weighting","full","1yr",0.784698661579141
"Method_A","1:2","age_cat_nij","Weighting","full","1yr",0.737939108145522
"Method_B","1:2","age_cat_nij","Weighting","full","1yr",0.737939108145522
"Method_C","1:2","age_cat_nij","Weighting","full","1yr",0.737939108145522
"Method_A","6:4","age_cat_nij","Weighting","full","1yr",0.759476123781219
"Method_B","6:4","age_cat_nij","Weighting","full","1yr",0.759476123781219
"Method_C","6:4","age_cat_nij","Weighting","full","1yr",0.759476123781219
"Method_A","7:3","age_cat_nij","Weighting","full","1yr",0.802880908136281
"Method_B","7:3","age_cat_nij","Weighting","full","1yr",0.802880908136281
"Method_C","7:3","age_cat_nij","Weighting","full","1yr",0.802880908136281
"Method_A","8:2","age_cat_nij","Weighting","full","1yr",0.784698661579141
"Method_B","8:2","age_cat_nij","Weighting","full","1yr",0.784698661579141
"Method_C","8:2","age_cat_nij","Weighting","full","1yr",0.784698661579141
"Method_A","1:2","raw_age_year","Undersampling","final","1yr",0.999999977338357
"Method_B","1:2","raw_age_year","Undersampling","final","1yr",0.999999977338357
"Method_C","1:2","raw_age_year","Undersampling","final","1yr",0.999999977338357
"Method_A","6:4","raw_age_year","Undersampling","final","1yr",0.992967925058598
"Method_B","6:4","raw_age_year","Undersampling","final","1yr",0.992967925058598
"Method_C","6:4","raw_age_year","Undersampling","final","1yr",0.992967925058598
"Method_A","7:3","raw_age_year","Undersampling","final","1yr",0.998348129704598
"Method_B","7:3","raw_age_year","Undersampling","final","1yr",0.998348129704598
"Method_C","7:3","raw_age_year","Undersampling","final","1yr",0.998348129704598
"Method_A","8:2","raw_age_year","Undersampling","final","1yr",0.999999999335836
"Method_B","8:2","raw_age_year","Undersampling","final","1yr",0.999999999335836
"Method_C","8:2","raw_age_year","Undersampling","final","1yr",0.999999999335836
"Method_A","1:2","age_cat_compas","Undersampling","final","1yr",0.999999977338357
"Method_B","1:2","age_cat_compas","Undersampling","final","1yr",0.999999977338357
"Method_C","1:2","age_cat_compas","Undersampling","final","1yr",0.999999977338357
"Method_A","6:4","age_cat_compas","Undersampling","final","1yr",0.992967925058598
"Method_B","6:4","age_cat_compas","Undersampling","final","1yr",0.992967925058598
"Method_C","6:4","age_cat_compas","Undersampling","final","1yr",0.992967925058598
"Method_A","7:3","age_cat_compas","Undersampling","final","1yr",0.998348129704598
"Method_B","7:3","age_cat_compas","Undersampling","final","1yr",0.998348129704598
"Method_C","7:3","age_cat_compas","Undersampling","final","1yr",0.998348129704598
"Method_A","8:2","age_cat_compas","Undersampling","final","1yr",0.999999999335836
"Method_B","8:2","age_cat_compas","Undersampling","final","1yr",0.999999999335836
"Method_C","8:2","age_cat_compas","Undersampling","final","1yr",0.999999999335836
